,AirfoilName
1574,tsagi-r-3a-il
1575,tsagi12-il
1576,tsagi8-il
1577,ua2-180-il
1578,ua2-180sm-il
1579,ua79sf18-il
1580,ua79sff-il
1581,ua79sfm-il
1582,uag8814320-il
1583,ui1720-il
1584,ultimate-il
1585,us1000root-il
1586,usa22-il
1587,usa25-il
1588,usa26-il
1589,usa27-il
1590,usa27m2-il
1591,usa28-il
1592,usa29-il
1593,usa31-il
1594,usa32-il
1595,usa33-il
1596,usa34-il
1597,usa35-il
1598,usa35a-il
1599,usa35b-il
1600,usa40-il
1601,usa40b-il
1602,usa41-il
1603,usa45-il
1604,usa45m-il
1605,usa46-il
1606,usa48-il
1607,usa49-il
1608,usa5-il
1609,usa50-il
1610,usa51-il
1611,usa98-il
1612,usnps4-il
1613,v13006-il
1614,v13009-il
1615,v23010-il
1616,v43012-il
1617,v43015-il
1618,vr1-il
1619,vr11x-il
1620,vr12-il
1621,vr13-il
1622,vr14-il
1623,vr15-il
1624,vr5-il
1625,vr7-il
1626,vr7b-il
1627,vr8-il
1628,vr8b-il
1629,vr9-il
1630,waspsm-il
1631,wb13535sm-il
1632,wb140-il
1633,whitcomb-il
1634,ys900-il
1635,ys915-il
1636,ys930-il
