,AirfoilName
392,fg4-il
393,fx049915-il
394,fx05188-il
395,fx05191-il
396,fx057816-il
397,fx05h126-il
398,fx082512-il
399,fx08s176-il
400,fx2-il
401,fx3-il
402,fx38153-il
403,fx60100-il
404,fx601001-il
405,fx60100sm-il
406,fx60126-il
407,fx601261-il
408,fx60157-il
409,fx60160-il
410,fx60177-il
411,fx61140-il
412,fx61147-il
413,fx61163-il
414,fx61168-il
415,fx61184-il
416,fx62k131-il
417,fx62k153-il
418,fx63100-il
419,fx63110-il
420,fx63120-il
421,fx63137-il
422,fx63137sm-il
423,fx63143-il
424,fx63145-il
425,fx63147-il
426,fx63158-il
427,fx6617a2-il
428,fx6617ai-il
429,fx66182-il
430,fx66196v-il
431,fx66a175-il
432,fx66h60-il
433,fx66h80-il
434,fx66s161-il
435,fx66s171-il
436,fx66s196-il
437,fx67k150-il
438,fx67k170-il
439,fx68h120-il
440,fx69274-il
441,fx69h083-il
442,fx69h098-il
443,fx69pr281-il
444,fx71089a-il
445,fx71120-il
446,fx711520-il
447,fx711525-il
448,fx711530-il
449,fx71l150-il
450,fx72150a-il
451,fx72150b-il
452,fx72ls160-il
453,fx73170-il
454,fx73170a-il
455,fx73cl1152-il
456,fx73cl2152-il
457,fx73cl3152-il
458,fx73k170-il
459,fx74080-il
460,fx74130wp1-il
461,fx74130wp2-il
462,fx74130wp2mod-il
463,fx74cl5140-il
464,fx74cl6140-il
465,fx74modsm-il
466,fx75141-il
467,fx75193-il
468,fx75vg166-il
469,fx76100-il
470,fx76120-il
471,fx76mp120-il
472,fx76mp140-il
473,fx76mp160-il
474,fx77080-il
475,fx77w121-il
476,fx77w153-il
477,fx77w258-il
478,fx77w270-il
479,fx77w270s-il
480,fx77w343-il
481,fx78k140-il
482,fx78k140a20-il
483,fx78k150-il
484,fx78k161-il
485,fx78pk188-il
486,fx79k144-il
487,fx79l100-il
488,fx79l120-il
489,fx79w151a-il
490,fx79w470a-il
491,fx79w660a-il
492,fx80080-il
493,fx83w108-il
494,fx83w160-il
495,fx83w227-il
496,fx84w097-il
497,fx84w127-il
498,fx84w140-il
499,fx84w150-il
500,fx84w175-il
501,fx84w218-il
502,fxl142k-il
503,fxlv152-il
504,fxm2-il
505,fxs02196-il
506,fxs03182-il
507,fxs21158-il
508,geminism-il
509,giiia-il
510,giiib-il
511,giiic-il
512,giiid-il
513,giiie-il
514,giiif-il
515,giiig-il
516,giiih-il
517,giiii-il
518,giiij-il
519,giiik-il
520,giiil-il
521,giiim-il
522,giiin-il
523,glennmartin2-il
524,glennmartin3-il
525,glennmartin4-il
526,gm15sm-il
527,goe05k-il
528,goe06k-il
529,goe07k-il
530,goe08k-il
531,goe09k-il
532,goe100-il
533,goe101-il
534,goe10k-il
535,goe113-il
536,goe114-il
537,goe115-il
538,goe116-il
539,goe117-il
540,goe118-il
541,goe11k-il
542,goe121-il
543,goe122-il
544,goe123-il
545,goe124-il
546,goe12k-il
547,goe133-il
548,goe134-il
549,goe137-il
550,goe13k-il
551,goe14-il
552,goe140-il
553,goe142-il
554,goe143-il
555,goe144-il
556,goe147-il
557,goe14k-il
558,goe15-il
559,goe155-il
560,goe15k-il
561,goe164-il
562,goe165-il
563,goe167-il
564,goe16k-il
565,goe173-il
566,goe174-il
567,goe176-il
568,goe177-il
569,goe178-il
570,goe180-il
571,goe182-il
572,goe184-il
573,goe187-il
574,goe188-il
575,goe190-il
576,goe195-il
577,goe198-il
578,goe199-il
579,goe207-il
580,goe210-il
581,goe217-il
582,goe222-il
583,goe223-il
584,goe225-il
585,goe226-il
586,goe227-il
587,goe228-il
588,goe229-il
589,goe233-il
590,goe234-il
591,goe235-il
592,goe238-il
593,goe239-il
594,goe240-il
595,goe241-il
596,goe242-il
597,goe243-il
598,goe244-il
599,goe255-il
600,goe256-il
601,goe257-il
602,goe264-il
603,goe265-il
604,goe269-il
605,goe274-il
606,goe275-il
607,goe276-il
608,goe277-il
609,goe278-il
610,goe279-il
611,goe280-il
612,goe281-il
613,goe282-il
614,goe284-il
615,goe285-il
616,goe286-il
617,goe287-il
618,goe288-il
619,goe289-il
620,goe290-il
621,goe298-il
622,goe29b-il
623,goe300-il
624,goe301-il
625,goe303-il
626,goe304-il
627,goe308-il
628,goe309-il
629,goe310-il
630,goe311-il
631,goe314-il
632,goe315-il
633,goe316-il
634,goe318-il
635,goe319-il
636,goe320-il
637,goe321-il
638,goe322-il
639,goe323-il
640,goe324-il
641,goe325-il
642,goe326-il
643,goe328-il
644,goe329-il
645,goe330-il
646,goe331-il
647,goe332-il
648,goe335-il
649,goe336-il
650,goe342-il
651,goe344-il
652,goe346-il
653,goe358-il
654,goe359-il
655,goe360-il
656,goe361-il
657,goe362-il
658,goe363-il
659,goe364-il
660,goe365-il
661,goe366-il
662,goe367-il
663,goe368-il
664,goe369-il
665,goe370-il
666,goe371-il
667,goe372-il
668,goe373-il
669,goe374-il
670,goe375-il
671,goe376-il
672,goe377-il
673,goe379-il
674,goe380-il
